"Symbol","Name","Last Sale","Market Cap","IPO year","Sector","industry","Summary Quote",
"CGO","Calamos Global Total Return Fund","11.42","$96.67M","2005","n/a","n/a","http://www.nasdaq.com/symbol/cgo",
"CSQ","Calamos Strategic Total Return Fund","9.9","$1.53B","2004","n/a","n/a","http://www.nasdaq.com/symbol/csq",
"CAMP","CalAmp Corp.","19.93","$729.26M","1983","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/camp",
"CVGW","Calavo Growers, Inc.","49","$851.78M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/cvgw",
"CFNB","California First National Bancorp","13.22","$138.28M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cfnb",
"CALA","Calithera Biosciences, Inc.","7.66","$138.92M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cala",
"CALD","Callidus Software, Inc.","18.57","$1.04B","2003","Technology","EDP Services","http://www.nasdaq.com/symbol/cald",
"CALM","Cal-Maine Foods, Inc.","46.34","$2.25B","1996","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/calm",
"CLMT","Calumet Specialty Products Partners, L.P.","19.91","$1.51B","2006","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/clmt",
"ABCD","Cambium Learning Group, Inc.","4.85","$221.21M","n/a","Consumer Services","Publishing","http://www.nasdaq.com/symbol/abcd",
"CAC","Camden National Corporation","44.09","$449.9M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cac",
"CAMT","Camtek Ltd.","2.17","$76.28M","2000","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/camt",
"CSIQ","Canadian Solar Inc.","28.96","$1.6B","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/csiq",
"CGIX","Cancer Genetics, Inc.","3.3","$35.15M","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/cgix",
"CPHC","Canterbury Park Holding Corporation","10.25","$43.52M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/cphc",
"CBNJ","Cape Bancorp, Inc.","12.43","$168.5M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cbnj",
"CPLA","Capella Education Company","46.22","$551.22M","2006","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/cpla",
"CBF","Capital Bank Financial Corp.","31.98","$1.4B","2012","Finance","Major Banks","http://www.nasdaq.com/symbol/cbf",
"CCBG","Capital City Bank Group","15.35","$263.17M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ccbg",
"CPLP","Capital Product Partners L.P.","5.52","$659.97M","2007","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cplp",
"CSWC","Capital Southwest Corporation","13.88","$216.3M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cswc",
"CPTA","Capitala Finance Corp.","12.08","$190.44M","2013","n/a","n/a","http://www.nasdaq.com/symbol/cpta",
"CLAC","Capitol Acquisition Corp. III","9.6","$390M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/clac",
"CLACU","Capitol Acquisition Corp. III","9.95","$248.75M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/clacu",
"CLACW","Capitol Acquisition Corp. III","0.49","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/clacw",
"CFFN","Capitol Federal Financial, Inc.","12.56","$1.72B","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cffn",
"CAPN","Capnia, Inc.","1.85","$22.88M","2014","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/capn",
"CAPNW","Capnia, Inc.","0.5","n/a","2014","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/capnw",
"CAPR","Capricor Therapeutics, Inc.","3.0736","$49.96M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/capr",
"CPST","Capstone Turbine Corporation","1.4","$23.15M","2000","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cpst",
"CARA","Cara Therapeutics, Inc.","16.86","$459.12M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cara",
"CARB","Carbonite, Inc.","9.8","$267.08M","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/carb",
"CBYL","Carbylan Therapeutics, Inc.","3.62","$95.29M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cbyl",
"CRDC","Cardica, Inc.","0.1543","$13.74M","2006","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/crdc",
"CFNL","Cardinal Financial Corporation","22.75","$732.78M","1998","Finance","Major Banks","http://www.nasdaq.com/symbol/cfnl",
"CRME","Cardiome Pharma Corporation","8.11","$159.68M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/crme",
"CSII","Cardiovascular Systems, Inc.","15.12","$491.39M","1981","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/csii",
"CATM","Cardtronics, Inc.","33.65","$1.51B","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/catm",
"CDNA","CareDx, Inc.","6.4","$76.18M","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/cdna",
"CECO","Career Education Corporation","3.63","$246.83M","1998","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ceco",
"CTRE","CareTrust REIT, Inc.","10.95","$527.22M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ctre",
"CKEC","Carmike Cinemas, Inc.","22.94","$563.82M","n/a","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/ckec",
"CLBH","Carolina Bank Holdings Inc.","18.44","$92.41M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/clbh",
"CARO","Carolina Financial Corporation","18","$175.65M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/caro",
"CART","Carolina Trust Bank","6.2","$28.8M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cart",
"CRZO","Carrizo Oil & Gas, Inc.","29.58","$1.73B","1997","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crzo",
"TAST","Carrols Restaurant Group, Inc.","11.74","$416.87M","2006","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/tast",
"CRTN","Cartesian, Inc.","2.22","$20.1M","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/crtn",
"CARV","Carver Bancorp, Inc.","3.75","$13.86M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/carv",
"CASM","CAS Medical Systems, Inc.","1.77","$47.58M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/casm",
"CACB","Cascade Bancorp","6.07","$441.77M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cacb",
"CSCD","Cascade Microtech, Inc.","16.25","$257.66M","2004","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/cscd",
"CWST","Casella Waste Systems, Inc.","5.98","$244.98M","1997","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/cwst",
"CASY","Caseys General Stores, Inc.","120.45","$4.7B","1983","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/casy",
"CASI","CASI Pharmaceuticals, Inc.","0.96","$31.15M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/casi",
"CASS","Cass Information Systems, Inc","51.46","$583.63M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cass",
"CATB","Catabasis Pharmaceuticals, Inc.","7.93","$121.31M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/catb",
"CBIO","Catalyst Biosciences, Inc. ","3.13","$35.77M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cbio",
